Title,FirstName,LastName,date,month,year,studentid,Assignment1,Assignment2,prac,Exam
,Raena,Green,6,06,1966,19874559,32,45,1,89
Ms,,Yellow,6,06,1966,11568950,23,72,9,18
Mr,Kevin,,6,06,1966,10766784,66,55,9,76
Ms,Angelyn,Cyan,,06,1966,10418608,36,85,8,79
Ms,Angelyn,Pink,6,,1966,17642586,6,58,9,83
Ms,Angelyn,Green,6,06,,13674348,0,30,9,69
Ms,Angelyn,Green,6,06,1966,,76,21,5,97
Ms,Angelyn,Yellow,6,06,1966,12511914,,97,4,42
Mr,Pippen,Blue,6,06,1966,12932221,2,,5,0
Mr,Pippen,Cyan,6,06,1966,15766576,75,94,,57
Mr,Pippen,Pink,6,06,1966,14416634,73,86,5,-1
Mr,Kevin,Blue,6,06,1966,31638486,4,45,7,2
blah,Kevin,Blue,6,06,1966,31638486,4,45,8,2
Ms,Grace,Park,6,06,1966,83806297,22,36,8,92
Mrs,Michelle,Green,6,06,1966,44578391,7,80,8,27
Mr,12312,Cyan,6,06,1966,16972781,8,69,7,3
Mr,12312k,Cyan,6,06,1966,16972782,8,69,3,3
Mr,@Mark,Abernethy,6,06,1966,48646544,45,45,4.5,45
Mrs,Raena,Green,6,06,1966,57816503,17,60,9,38
Mrs,Renae,Gr33n,6,06,1966,57816502,17,60,0,38
Mrs,Raena,12345,6,06,1966,57816505,17,60,9,38
Mrs,Raena,green#,6,06,1966,57816507,17,60,9,38
Mrs,Rachel,Green,6,06,1966,64646454,17,60,9,38
Ms,Jenny,Yellow,a,06,1966,88086714,14,7,10,5
Ms,Jenny,Yellow,-1,06,1966,88086714,14,7,10,5
Mr,Kevin,Yellow,0,06,1966,70082537,54,7,0,73
Ms,Angelyn,Cyan,1,06,1966,67893814,81,66,1,41
Ms,Angelyn,Green,30,06,1966,55278162,34,28,4,23
Ms,Angelyn,Green,28,02,1966,55278163,34,28,4,23
Ms,Angelyn,Green,29,02,2016,55278163,34,28,4,23
Ms,Angelyn,Green,29,02,1966,55278163,34,28,4,23
Ms,Angelyn,Green,31,07,1966,55278163,34,28,4,23
mr,Mark,Abernethy,99,06,1966,12345678,78,78,7.8,78,78
